poblacion;provincia
A Coruña                                 ;A Coruña              
A Gándara-Narón                          ;A Coruña              
A Gándara. Narón                         ;A Coruña              
A Gándara. Narón.                        ;A Coruña              
A Pobra Do Caramiñal                     ;A Coruña              
Ames                                     ;A Coruña              
Arteixo                                  ;A Coruña              
Arzua                                    ;A Coruña              
As Pontes                                ;A Coruña              
Baio                                     ;A Coruña              
Bergondo                                 ;A Coruña              
Bertamirans                              ;A Coruña              
Bertamirans-Ames                         ;A Coruña              
Bertamiras Ames                          ;A Coruña              
Betanzos                                 ;A Coruña              
Boiro                                    ;A Coruña              
Burgo                                    ;A Coruña              
Camariñas                                ;A Coruña              
Cambre                                   ;A Coruña              
Caranza                                  ;A Coruña              
Carballo                                 ;A Coruña              
Carral                                   ;A Coruña              
Cedeira                                  ;A Coruña              
Cee                                      ;A Coruña              
Conxo                                    ;A Coruña              
Coristanco                               ;A Coruña              
Coruña                                   ;A Coruña              
Coruña (A)                               ;A Coruña              
Coruña A                                 ;A Coruña              
Coruña, La                               ;A Coruña              
Culleredo                                ;A Coruña              
Dumbria                                  ;A Coruña              
El Burgo                                 ;A Coruña              
El Ferrol                                ;A Coruña              
El Ferrol- A Coruña                      ;A Coruña              
Fene                                     ;A Coruña              
Ferrol                                   ;A Coruña              
La Coruña                                ;A Coruña              
La Solana                                ;A Coruña              
Laracha                                  ;A Coruña              
Melide                                   ;A Coruña              
Milladoiro                               ;A Coruña              
Miño                                     ;A Coruña              
Muros                                    ;A Coruña              
Narón                                    ;A Coruña              
Negreira                                 ;A Coruña              
Noia                                     ;A Coruña              
Noya                                     ;A Coruña              
O Burgo                                  ;A Coruña              
O Graxal                                 ;A Coruña              
Oleiros                                  ;A Coruña              
Órdenes                                  ;A Coruña              
Ordes                                    ;A Coruña              
Ordes (Ordes)                            ;A Coruña              
Ortigueira                               ;A Coruña              
Padrón                                   ;A Coruña              
Palavea                                  ;A Coruña              
Perillo (Oleiros)                        ;A Coruña              
Perillo (Sta Leocadia)                   ;A Coruña              
Perillo - Oleiros                        ;A Coruña              
Perlio                                   ;A Coruña              
Pontedeume                               ;A Coruña              
Pontes De Garcia Rodriguez, As           ;A Coruña              
Ribeira                                  ;A Coruña              
Ribeira (Santa Uxia)                     ;A Coruña              
Riveira                                  ;A Coruña              
Sada                                     ;A Coruña              
San Xoan De Calo-Teo                     ;A Coruña              
Santa Eugenia De Riveira                 ;A Coruña              
Santiago                                 ;A Coruña              
Santiago De Compostela                   ;A Coruña              
St Cristina                              ;A Coruña              
Teo                                      ;A Coruña              
Teo / Santiago De Compostela             ;A Coruña              
Vimianzo                                 ;A Coruña              
Álava                                    ;Alava                 
Amurrio                                  ;Alava                 
Etxabarr- Iviña-Zigoitia                 ;Alava                 
Gorbeia Zigoita                          ;Alava                 
Llodio                                   ;Alava                 
Salvatierra-Agurain                      ;Alava                 
Vitoria                                  ;Alava                 
Vitoria - Gasteiz                        ;Alava                 
Vitoria Gasteiz                          ;Alava                 
Vitoria-Gasteiz                          ;Alava                 
Albacete                                 ;Albacete              
Almansa                                  ;Albacete              
Caudete                                  ;Albacete              
Hellín                                   ;Albacete              
La Roda                                  ;Albacete              
Roda (La)                                ;Albacete              
Villarobledo                             ;Albacete              
Villarrobledo                            ;Albacete              
--                                       ;Alicante              
Alcoi                                    ;Alicante              
Alcoy                                    ;Alicante              
Alcoy- Alicante                          ;Alicante              
Alfas Del Pi                             ;Alicante              
